,Sods,Fats,Carbs,Prots,Cals
Double Quarter Pounder with Cheese,1280,43,42,48,750
Nonfat French Vanilla Latte (Small),115,0,39,10,190
Premium Bacon Ranch Salad with Grilled Chicken,690,8,8,29,220
Iced Caramel Mocha (Large),250,16,65,13,460
Premium McWrap Chicken & Bacon (Crispy Chicken),1540,32,56,32,630
Caramel Mocha (Small),170,11,45,10,320
Premium McWrap Chicken & Ranch (Crispy Chicken),1340,31,56,27,610
Fruit & Maple Oatmeal without Brown Sugar,115,4,49,5,260
Southern Style Chicken Biscuit (Regular Biscuit),1180,20,41,17,410
Quarter Pounder with Bacon Habanero Ranch,1180,31,46,37,610
Premium Bacon Ranch Salad (without Chicken),300,7,10,9,140
Premium Southwest Salad with Grilled Chicken,680,8,28,27,290
French Vanilla Latte (Large),190,14,60,15,420
Coca-Cola Classic (Child),0,0,28,0,100
Regular Iced Coffee (Medium),50,7,31,1,190
Mango Pineapple Smoothie (Medium),45,1,61,3,260
Small French Fries,130,11,30,2,230
Diet Coke (Large),35,0,0,0,0
Sausage Biscuit with Egg (Large Biscuit),1280,37,42,18,570
Premium Southwest Salad (without Chicken),150,4.5,20,6,140
Chicken McNuggets (20 piece),1800,59,59,44,940
Hazelnut Latte (Large),180,14,62,15,430
Nonfat French Vanilla Latte (Large),180,0.5,60,16,300
Iced Mocha with Nonfat Milk (Large),220,6,71,14,390
Premium Grilled Chicken Club Sandwich,1250,20,44,40,510
Caramel Iced Coffee (Small),35,4.5,22,1,130
Sausage Biscuit with Egg Whites (Regular Biscuit),1180,27,34,18,460
Iced Coffee with Sugar Free French Vanilla Syrup (Medium),90,7,12,1,120
Hot Fudge Sundae,170,9,53,8,330
Diet Coke (Medium),20,0,0,0,0
Hazelnut Iced Coffee (Medium),50,7,29,1,180
Hot Chocolate with Nonfat Milk (Small),180,3.5,50,12,280
Iced Tea (Child),5,0,0,0,0
"Bacon, Egg & Cheese McGriddles",1250,21,48,19,460
Sausage McMuffin,780,23,29,14,370
Sausage McMuffin with Egg,860,28,30,21,450
Strawberry Banana Smoothie (Large),80,1,74,5,330
Premium McWrap Southwest Chicken (Grilled Chicken),1320,20,55,31,520
Sprite (Large),60,0,74,0,280
Iced Tea (Large),15,0,0,0,0
Hot Chocolate with Nonfat Milk (Large),280,3.5,74,19,400
